D 2023-04-16 17:55:04,068| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:04,073| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:04,074| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:04,579| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:04,584| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:04,584| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:05,090| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:05,098| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:05,099| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:05,604| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:05,609| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:05,609| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:06,113| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:06,127| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:06,128| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:06,630| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:06,642| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:06,643| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:07,147| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:07,160| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:07,161| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
