D 2023-04-29 13:14:55,182| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-29 13:14:55,183| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/element/0de99e07-8cf2-492c-8535-9dc6ec6f2dfa/value {"text": "\ue03dc", "value": ["\ue03d", "c"], "id": "0de99e07-8cf2-492c-8535-9dc6ec6f2dfa"}
D 2023-04-29 13:14:55,198| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/element/0de99e07-8cf2-492c-8535-9dc6ec6f2dfa/value HTTP/1.1" 200 14
D 2023-04-29 13:14:55,199| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-29 13:14:55,199| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/element {"using": "css selector", "value": ".keywords"}
D 2023-04-29 13:14:55,204| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/element HTTP/1.1" 200 88
D 2023-04-29 13:14:55,204| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-29 13:14:55,204| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/element/0de99e07-8cf2-492c-8535-9dc6ec6f2dfa/clear {"id": "0de99e07-8cf2-492c-8535-9dc6ec6f2dfa"}
D 2023-04-29 13:14:55,263| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/element/0de99e07-8cf2-492c-8535-9dc6ec6f2dfa/clear HTTP/1.1" 200 14
D 2023-04-29 13:14:55,264| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-29 13:14:55,264| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/element {"using": "css selector", "value": ".keywords"}
D 2023-04-29 13:14:55,941| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/element HTTP/1.1" 200 88
D 2023-04-29 13:14:55,941| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-29 13:14:55,941| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/element/0de99e07-8cf2-492c-8535-9dc6ec6f2dfa/value {"text": "\ue03dv", "value": ["\ue03d", "v"], "id": "0de99e07-8cf2-492c-8535-9dc6ec6f2dfa"}
D 2023-04-29 13:14:56,308| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/element/0de99e07-8cf2-492c-8535-9dc6ec6f2dfa/value HTTP/1.1" 200 14
D 2023-04-29 13:14:56,309| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-29 13:14:58,314| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/element {"using": "xpath", "value": "//a[contains(text(),'\u70b9\u51fb\u641c\u7d22')]"}
D 2023-04-29 13:14:58,391| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/element HTTP/1.1" 200 88
D 2023-04-29 13:14:58,392| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-29 13:14:58,392| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/element/dcb726c0-2d02-49a0-9ea4-eeeca8f86e4b/click {"id": "dcb726c0-2d02-49a0-9ea4-eeeca8f86e4b"}
D 2023-04-29 13:15:02,158| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/element/dcb726c0-2d02-49a0-9ea4-eeeca8f86e4b/click HTTP/1.1" 200 14
D 2023-04-29 13:15:02,159| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
